ID,Date (UTC),Wallet,Sold Amount (ALGO),USD Value,Rate (USD/ALGO)
OV7B2BBQA3NAVLPIPTAL3SCED3LGWZ4YGVEX2DCM3XRTFDXOQAPA,2025-01-02T12:33:37.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,10000000,3923000,0.3923
EF5KLCYULMDTRI7NHYGWJYQRJ5VG5VXXRV57S44EV6BX5SEAHPVQ,2025-01-07T12:15:50.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,2236200,0.3727
IPDLYMH625QVN5NSS76PGYWTX3Y4I32TS6RRHYRRO2HN353KQ5DA,2025-01-09T10:35:05.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,2050800,0.3418
BFLSCH5BORAKO5CESWN653X7G4SZJ4UPQL74H75FPOEXNFZC7CJA,2025-01-13T15:07:13.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,2095800,0.3493
LILST4YK5OOQ773LZJWCBURWQMVH7HP3EXKHOYC5TEYHT2BNVROQ,2025-01-16T15:14:36.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,3710400,0.4638
PIM7JHUCBWXJ57BSEFOYNH5VOEPFCC2SBOXJUFIT2SOOAPXC7ZEA,2025-01-20T18:11:45.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,2578200,0.4297
KTUG75X2N4RO2WPFZEZ3DPXGKOQPHLOUHZPSPGGJGZXHB5OA6WPQ,2025-01-23T16:51:39.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,3282400,0.4103
5BMIQOXYM4LXR4G33VWLJCAGTATCDQCKHXDPSR55CEROBLMU4GAQ,2025-01-27T14:58:30.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,2320800,0.3868
2IZT5RFPHKWY3S4TVZBGROP6PT2LXJ37T45FCIHTV4VN3NEPNLVQ,2025-01-30T11:06:06.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,3100800,0.3876
G4SRSJ4DSUF3MDYEL6AGUVR2LXVA5OCMSZXB2K73KLZFOM764KAA,2025-02-03T11:30:26.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1879199.9999999998,0.3132
WE44UD6UXDAL2IZME7PLKVCAUHBQLZAWYNT5JJKKWNLL3AKD6QDA,2025-02-06T13:31:51.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,2134400,0.2668
SW37OEFMHARYMHWRHNQBRWKWUWY2NQHEYYPQABJ326D75VT3RVQA,2025-02-12T10:54:08.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,2420800,0.3026
KIEEVCNGBF2ZWTI26DDPV5AN7MEEGLGXDTBCSKHDUSJZ5TMAVGHQ,2025-02-14T14:45:04.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1778400,0.2964
HZ5HNXSUROHONQFNC4AXXCR7UND5RCKTKEZM43BUXV3KQ6IQTGOQ,2025-02-17T11:09:08.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1620600,0.2701
7W6FFFH7557CUXBY237NMDKUM7ZJACXIP7RCJ5BYQU2MEQEEP53A,2025-02-20T10:00:23.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,2169600,0.2712
GH6CX4HJZIZJE7H4PASGDDHCZ7CZWKUNN6SN3PHZGNBEZZ4HEAQA,2025-02-24T15:03:35.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1362600,0.2271
MEOJP6K6FBXP3GV7252TBWX45DDI4IQYZAMLD3LCI2RIATGEJ2DQ,2025-03-05T11:01:47.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,5000000,1251000,0.2502
PPCUXA7XXNMLFOKYYQOJMJA7CSMDZV4R2TNC57GLFGFBKTV7Y5TQ,2025-03-07T15:28:40.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1398000,0.233
LOWCBUX3TV4CXYUFE73U7CEIV4NHXRHW7HAJCZLI3J4ISTJR2EKA,2025-03-10T17:34:37.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,9000000,1654200,0.1838
RHSKTHUQTJ4QL5O3KICGECVJT6ZYECIGFMMZOAOLF7TSIGF3TOGQ,2025-03-13T14:23:45.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,12000000,2348400,0.1957
VLU35VJ5TPXXUZCTAD4HXRSZNUQ3X4P64LITWHKMLDCB5HGFJHIQ,2025-03-17T14:48:19.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,9000000,1720800,0.1912
V5W4QZ7NLXS5JZV7T2K7WC43EDI6P37AZ74MANSPHZGBHOMUQWSQ,2025-03-19T15:15:08.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,7000000,1399300,0.1999
5SHSPSUIAM7ALC3C2ECH5SKHAQVQ3DH6A2PKWXTRNTEVBGXK7RYQ,2025-03-24T12:13:44.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1223400,0.2039
6JFLXLFY5OLE2HV4N6PJY37L4ID3IPKCG5S74G2LJVQHMLOE3WAQ,2025-03-27T12:30:12.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,1695200,0.2119
YLTFHRCF6SLFLBNTNYBCNP6MWPV6XLV4OWW6XW6YCUWIGUAZ5PWQ,2025-03-31T09:33:47.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1080000,0.18
NIRPBBHNXC7VPYGSM5JQWIYGMXLNJARYFFGSTCYC232K42DJJ2AA,2025-04-03T12:30:47.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,8000000,1447200,0.1809
WPECTKJI2UVGGCUSZ2U36VUFSVSE2ALPKUITBGRZ5CFEKXZBJV6A,2025-04-11T14:44:46.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,5000000,898999.9999999999,0.1798
FJANWUYH44VJKIF4R2PNF5CP5ULKCX7EPZF3ZW2N4DPZJE7IBMUA,2025-04-16T12:36:48.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1088400,0.1814
4OEW3IWXX6FO5F3DPQXKMVN3I4NEN45RIMIWI5A3HYDHBTYWVOVA,2025-04-22T14:25:00.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,6000000,1258200,0.2097
W2KQM6YKQ4MFIV6MSYQ7UXMCK5CU7HR67M2SC7JSERD6B5SN22JQ,2025-04-29T11:36:30.000Z,44GWRTQGSAYUJJCQ3GFINYKZXMBDVKCF75VMCXKORN7ZJ6BKPNG2RMGH7E,3000000,680400,0.2268
SCN6ZPLM5CZWEAMAA32U4WMSF7AFGNG4NRY36IVTVGLNCRYROX7A,2025-05-09T09:27:23.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,5000000,1164000,0.2328
5GJNLCQB3OLZ3RZXUJSOZYVRNRLEJI3F5RWUPKEMHBKHXOHT4IVQ,2025-05-26T11:10:56.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,657300,0.2191
6W2MDLNLBVL5KH5CPTOKQVKFXHXXXTQPKOYQWDP7EWU3C5RI47JA,2025-05-29T17:33:49.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,628500,0.2095
JK33BSOH4DXEQT2VJKDVNSLJBBWYTCHTNW32MOZWQDJQRV4Z6I2Q,2025-06-03T12:25:54.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,789600,0.1974
L6QHRXXER3ST7MMIVU3KAIBD2VIJIXGX47W6KPLA3BBG6UK2DU4A,2025-06-06T09:14:45.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,749600,0.1874
6QJPG6DCNN5CWLCHXKBJPTXXGVFPULIZTFVCNX3AQMRC6E47A4ZA,2025-06-10T08:31:49.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,6000000,1248600,0.2081
4NR7IKZHPUAWHJGXI2FW6GI6H5H46QEDHVLNHA2ZW2YYDKIYBC7Q,2025-06-17T14:50:21.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,678400,0.1696
SV4YSFQXX37KLSRUWLTX4W33FGND4LUVEEIZEURK324POGZ2EYNQ,2025-07-15T19:21:55.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1135200,0.2838
XAF6EAYX4TJEQQ25OXXOBZMVFOWYVKWKO4ZN5ZCSLMF7ZO5COEQA,2025-07-17T21:41:35.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1274400,0.3186
JPZ36LII24R3VMIARH3TBZM77PC7VT2DQSTVYLB2QZC6BUSBGC7A,2025-07-21T12:38:22.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1192800,0.2982
YPOBOAQOHXG2ZNR7GCXBNKHPKBYV37DXV7WPGYDV5ZKWDWRFJT5Q,2025-07-25T11:23:33.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1068000,0.267
LBGB6C3XEJEITXHRO5RABIP57CHEFAKSH6SYHVF2O2FICKBJNKTA,2025-07-30T11:53:43.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,5000000,1268500,0.2537
Y3WZPFWEZHE3MARIQFJVOR7YFSG56SLSNE6C4E5W3MBBT6WTXSEQ,2025-08-04T11:08:12.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,993200,0.2483
IQCMCZADT3IOEORS752UCG2OI7SNAGBJRJ7OJMBNVFLNNMD72ARQ,2025-08-07T14:18:29.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1056800,0.2642
A4KTTXVRO6QIPIUNVKW7ETF5CDNETPD5T42EE7HTDSMRWDIYTWPA,2025-08-11T09:29:56.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1013600,0.2534
DHHBWGKMNZCNZ7XYIPI2ESSBBC6HCJZ7L5A3D5DGGNUP6PBWCC2Q,2025-08-14T09:18:26.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,762000,0.254
EKCR6GFREJNFY5T2VJNQHDUXFPN4CLGJANU2234E2ZJAUNHDHS6Q,2025-08-18T11:11:58.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1020400,0.2551
IMDRIFULL3MAAJKUE6PCYNZXXTDJK6CX7QGJGHCNE743ELDFSW4Q,2025-08-21T17:03:08.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,744900,0.2483
DAYHUQL4VG3XICOV5EGFECVGVUS5YKU4IBAOOASRC5H2YWHL4AOA,2025-08-26T12:53:31.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,764100,0.2547
6AS4ED6L52AF26MWNLBWGAGBFB3V623IVQ6YMU4NMIWXQQUFDHIQ,2025-08-28T09:32:08.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,1011200.0000000001,0.2528
VO6CL6AWH4ICVIE476Q5RMXRKUAK2XBILX3RFG33QZOCSNJXLPEA,2025-09-02T11:48:47.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,699900,0.2333
5PNK3GDQYMBC7PRWRUPZLQC2GXVR2O2SKDSG6GBAKJSKCM6545KA,2025-09-05T09:08:41.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,3000000,688500,0.2295
YVIEBMPBZ3H6D7T6W4NHJU3UXF2WVWS4YEO7VSDBSPQE2PN7GUVA,2025-09-09T09:28:30.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,932400,0.2331
JK45EZCIEVGNL3OZ2R2XERKDGNAI6FUFDBXUTN32VTRAUM2TWUZA,2025-09-12T09:10:57.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,994000,0.2485
CMXR5GBMK6HSLFLGADLQUUP6FAHWBX6LCDCMAS3HJ5L5H5LZH23A,2025-09-15T07:54:41.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,931200,0.2328
NFBS7CSZGMXJJ3MJBXIQKKD5NF6CDGIGYDEUMSR6NKR4T3B3V6KA,2025-09-19T09:43:34.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,936800,0.2342
Y6GHGPIFJK2KZ5UJXRCCX2ZQIZ5UCAI6J52JOF577HZUBBKW4KXQ,2025-09-23T15:04:46.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,844000,0.211
OFJNZDODPMKLLYC2N3T72XEG6O74WLWW5AB5HEBBH6UYUROWZ65A,2025-09-29T08:40:54.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,830800,0.2077
REZ6N2P7XHHWXZYBB3KI4QFJRYIKXG26TN467XRPQAPFKD4MVXLQ,2025-10-02T12:02:42.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,900800,0.2252
CM7IMEHZDSIMNTCL7D46NYRIRNR4RW2QKV2FTAHCIG2OPFKPKVOA,2025-10-06T11:38:18.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,917200,0.2293
352LEGIA6RNHK5CYV2KV4HR7OM52NGKBQRYUDGKXHC5HZSQINTOA,2025-10-09T13:54:23.000Z,37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,4000000,882000,0.2205
